sim/operation/quit                                 Quit X-Plane.
sim/GPS/gcu478/pan_up                              GCU: pan up.
sim/GPS/gcu478/pan_down                            GCU: pan down.
sim/GPS/gcu478/pan_left                            GCU: pan left.
sim/GPS/gcu478/pan_right                           GCU: pan right.
sim/GPS/gcu478/pan_up_left                         GCU: pan up left.
sim/GPS/gcu478/pan_down_left                       GCU: pan down left.
sim/GPS/gcu478/pan_up_right                        GCU: pan up right.
sim/GPS/gcu478/pan_down_right                      GCU: pan down right.
sim/GPS/gcu478/pan_push                            GCU: push pan.
sim/GPS/gcu478/fms                                 GCU: FMS
sim/GPS/gcu478/xpdr                                GCU: XPDR
sim/GPS/gcu478/com                                 GCU: COM
sim/GPS/gcu478/nav                                 GCU: NAV
sim/GPS/gcu478/ff                                  GCU: COM/NAV flip flop.
sim/GPS/gcu478/direct                              GCU: -D->
sim/GPS/gcu478/menu                                GCU: menu.
sim/GPS/gcu478/fpl                                 GCU: FPL.
sim/GPS/gcu478/proc                                GCU: proc.
sim/GPS/gcu478/clr                                 GCU: CLR.
sim/GPS/gcu478/ent                                 GCU: ENT.
sim/GPS/gcu478/outer_up                            GCU: outer ring tune up.
sim/GPS/gcu478/outer_down                          GCU: outer ring tune down.
sim/GPS/gcu478/inner_up                            GCU: inner ring tune up.
sim/GPS/gcu478/inner_down                          GCU: inner ring tune down.
sim/GPS/gcu478/cursor                              GCU: cursor/1-2.
sim/GPS/gcu479/home                                GCU: Home - Default Nav.
sim/GPS/gcu479/crs                                 GCU: CRS.
sim/GPS/gcu479/cursor                              GCU: cursor.
sim/GPS/gcu479/1_2_ctr                             GCU: radios 1-2, CRS center.
sim/GPS/gcu479/popout                              GCU: pop out keyboard.
sim/GPS/gcu479/popup                               GCU: popup keyboard.
sim/GPS/G1000_display_reversion                    G1000 red button for display reversion (backup display).
sim/systems/overspeed_test                         Prop overspeed test.
sim/fuel/indicate_aux                              Fuel tanks show auxiliary tanks.
sim/fuel/indicate_all                              Fuel tanks show all tanks.
sim/fuel/indicate_nacelle                          Fuel tanks show nacelle tanks.
sim/autopilot/test_auto_annunciators               Autopilot test annunciators.
sim/flight_controls/pitch_trimA_up                 Pitch trim A up.
sim/flight_controls/pitch_trimA_down               Pitch trim A down.
sim/flight_controls/pitch_trimB_up                 Pitch trim B up.
sim/flight_controls/pitch_trimB_down               Pitch trim B down.
sim/flight_controls/pitch_trim_up                  Pitch trim up.
sim/flight_controls/pitch_trim_down                Pitch trim down.
sim/flight_controls/pitch_trim_up_mech             Pitch trim up - Mechanical, not servo.
sim/flight_controls/pitch_trim_down_mech           Pitch trim down - Mechanical, not servo.
sim/flight_controls/pitch_trim_up_elec             Pitch trim up - electric trim rocker switch.
sim/flight_controls/pitch_trim_down_elec           Pitch trim down - electric trim rocker switch.
sim/flight_controls/aileron_trimA_left             Roll trim A left.
sim/flight_controls/aileron_trimA_right            Roll trim A right.
sim/flight_controls/aileron_trimB_left             Roll trim B left.
sim/flight_controls/aileron_trimB_right            Roll trim B right.
sim/flight_controls/aileron_trim_left              Roll trim left.
sim/flight_controls/aileron_trim_right             Roll trim right.
sim/flight_controls/rudder_trimA_left              Yaw trim A left.
sim/flight_controls/rudder_trimA_right             Yaw trim A right.
sim/flight_controls/rudder_trimB_left              Yaw trim B left.
sim/flight_controls/rudder_trimB_right             Yaw trim B right.
sim/flight_controls/rudder_trim_left               Yaw trim left.
sim/flight_controls/rudder_trim_right              Yaw trim right.
sim/flight_controls/gyro_rotor_trim_up             Gyro rotor trim up.
sim/flight_controls/gyro_rotor_trim_down           Gyro rotor trim down.
sim/flight_controls/rotor_rpm_trim_up              Rotor RPM trim up.
sim/flight_controls/rotor_rpm_trim_down            Rotor RPM trim down.
sim/flight_controls/magnetic_lock                  Controls magnetic lock.
sim/flight_controls/pitch_trim_takeoff             Pitch trim takeoff.
sim/flight_controls/aileron_trim_center            Aileron trim center.
sim/flight_controls/rudder_trim_center             Rudder trim center.
sim/flight_controls/rudder_lft                     Rudder left.
sim/flight_controls/rudder_ctr                     Rudder center.
sim/flight_controls/rudder_rgt                     Rudder right.
sim/flight_controls/split_roll                     Split roll axis left/right.
sim/flight_controls/split_pitch                    Split pitch axis left/right.
sim/flight_controls/reconnect_roll                 Reconnect roll axis left/right.
sim/flight_controls/reconnect_pitch                Reconnect pitch axis left/right.
sim/flight_controls/split_all                      Split both axes left/right.
sim/flight_controls/reconnect_all                  Reconnect both axes left/right.
sim/autopilot/set_ott_seldisp_ALT_VVI_vvi          Let ott_seldisp_ALT_VVI show VVI.
sim/autopilot/set_ott_seldisp_ALT_VVI_alt          Let ott_seldisp_ALT_VVI show ALT.
sim/instruments/timer_start_stop                   Start or stop the timer.
sim/instruments/timer_reset                        Reset the timer.
sim/instruments/timer_show_date                    Show date on the chrono.
sim/instruments/timer_mode                         Timer/clock mode for chronos.
sim/operation/pause_toggle                         Toggle simulation paused state.
sim/operation/pause_on                             Pause the simulation.
sim/operation/pause_off                            Unpause the simulation.
sim/operation/freeze_toggle                        Freeze the ground locationn.
sim/operation/flightmodel_speed_change             Sim 1x 2x 4x sim speed.
sim/operation/ground_speed_change                  Sim 1x 2x 4x ground speed.
sim/operation/video_record_toggle                  Toggle AVI movie recording.
sim/operation/configure_video_recording            Configure AVI movie recording.
sim/replay/replay_toggle                           Toggle replay mode on/off.
sim/replay/replay_off                              Replay mode off.
sim/replay/replay_controls_toggle                  Replay mode: Toggle controls visibility.
sim/replay/rep_begin                               Replay mode: go to beginning.
sim/replay/rep_play_fr                             Replay mode: play fast reverse.
sim/replay/rep_play_rr                             Replay mode: play reverse.
sim/replay/rep_play_sr                             Replay mode: play slow reverse.
sim/replay/rep_pause                               Replay mode: pause.
sim/replay/rep_play_sf                             Replay mode: play slow forward.
sim/replay/rep_play_rf                             Replay mode: play forward.
sim/replay/rep_play_ff                             Replay mode: play fast forward.
sim/replay/rep_end                                 Replay mode: go to end.
sim/operation/toggle_logbook                       Toggle logbook window.
sim/operation/save_flight                          Toggle Save Flight window.
sim/operation/load_flight                          Toggle Load Flight window.
sim/operation/text_file_toggle                     Toggle text file.
sim/operation/checklist_toggle                     Toggle checklist.
sim/operation/checklist_next                       Next item in checklist.
sim/operation/checklist_previous                   Previous item in checklist.
sim/operation/contact_atc                          Contact ATC.
sim/operation/contact_atc_ptt                      Contact ATC (Push-to-talk)
sim/operation/toggle_auto_readback                 Toggle auto-readback of ATC messages.
sim/operation/atc_readback                         Readback last ATC message.
sim/operation/rwy_lights_off                       Runway lights off.
sim/operation/rwy_lights_lo                        Runway lights lo.
sim/operation/rwy_lights_med                       Runway lights med.
sim/operation/rwy_lights_hi                        Runway lights hi.
sim/operation/toggle_ai_flies                      Toggle AI flying your aircraft.
sim/operation/toggle_yoke                          Toggle yoke visibility.
sim/operation/reset_flight                         Reset flight to most recent start.
sim/operation/go_to_default                        Reset flight to nearest airport.
sim/operation/reset_to_runway                      Reset flight to nearest runway.
sim/operation/go_next_runway                       Reset flight to next runway on current airport
sim/operation/Glider_Winch                         Glider winch start.
sim/operation/Glider_Tow                           Glider tow start.
sim/view/sunglasses                                Sunglasses.
sim/view/night_vision                              Night vision.
sim/VR/xpad/home_button                            Press the Home Button of the VR xPad.
sim/VR/toggle_3d_mouse_cursor                      Toggle the 3-d mouse cursor in VR.
sim/VR/toggle_vr                                   Toggle enabling of VR hardware.
sim/VR/general/reset_view                          Reset VR View.
sim/VR/quick_zoom_view                             Temporarily and Quickly Zoom in while in VR.
sim/VR/reserved/select                             Reserved: VR Select/Trigger Button.
sim/VR/reserved/menu                               Reserved: VR Menu Button.
sim/VR/reserved/touchpad                           Reserved: VR Thumbstick/Touchpad Button.
